    704       3
-6.283185305000000e+00 -2.094395102500000e+00  1.000000000000000e+00
-6.283185305000000e+00 -2.094395102500000e+00  3.333333333333334e-01
-6.283185305000000e+00 -1.495996501785714e+00  3.333333333333334e-01
-6.283185305000000e+00 -1.495996501785714e+00  1.000000000000000e+00
-5.684786704523810e+00 -2.094395102500000e+00  1.000000000000000e+00
-5.684786704523810e+00 -2.094395102500000e+00  3.333333333333334e-01
-5.684786704523809e+00 -1.495996501785715e+00  3.333333333333334e-01
-5.684786704523809e+00 -1.495996501785715e+00  1.000000000000000e+00
-6.283185305000000e+00 -2.094395102500000e+00 -3.333333333333333e-01
-6.283185305000000e+00 -1.495996501785714e+00 -3.333333333333333e-01
-5.684786704523809e+00 -2.094395102500000e+00 -3.333333333333332e-01
-5.684786704523809e+00 -1.495996501785715e+00 -3.333333333333333e-01
-6.283185305000000e+00 -2.094395102500000e+00 -1.000000000000000e+00
-6.283185305000000e+00 -1.495996501785714e+00 -1.000000000000000e+00
-5.684786704523809e+00 -2.094395102500000e+00 -1.000000000000000e+00
-5.684786704523808e+00 -1.495996501785714e+00 -1.000000000000000e+00
-6.283185305000001e+00 -8.975979010714287e-01  3.333333333333334e-01
-6.283185305000000e+00 -8.975979010714288e-01  1.000000000000000e+00
-5.684786704523810e+00 -8.975979010714287e-01  3.333333333333334e-01
-5.684786704523808e+00 -8.975979010714289e-01  1.000000000000000e+00
-6.283185304999999e+00 -8.975979010714285e-01 -3.333333333333333e-01
-5.684786704523809e+00 -8.975979010714285e-01 -3.333333333333333e-01
-6.283185305000000e+00 -8.975979010714286e-01 -1.000000000000000e+00
-5.684786704523810e+00 -8.975979010714287e-01 -1.000000000000000e+00
-6.283185305000000e+00 -2.991993003571430e-01  3.333333333333334e-01
-6.283185305000000e+00 -2.991993003571429e-01  1.000000000000000e+00
-5.684786704523809e+00 -2.991993003571429e-01  3.333333333333333e-01
-5.684786704523808e+00 -2.991993003571430e-01  1.000000000000000e+00
-6.283185305000000e+00 -2.991993003571431e-01 -3.333333333333334e-01
-5.684786704523809e+00 -2.991993003571429e-01 -3.333333333333333e-01
-6.283185305000000e+00 -2.991993003571429e-01 -1.000000000000000e+00
-5.684786704523810e+00 -2.991993003571429e-01 -1.000000000000000e+00
-6.283185305000000e+00  2.991993003571429e-01  3.333333333333334e-01
-6.283185305000000e+00  2.991993003571429e-01  1.000000000000000e+00
-5.684786704523809e+00  2.991993003571430e-01  3.333333333333333e-01
-5.684786704523810e+00  2.991993003571429e-01  1.000000000000000e+00
-6.283185305000000e+00  2.991993003571429e-01 -3.333333333333334e-01
-5.684786704523809e+00  2.991993003571430e-01 -3.333333333333333e-01
-6.283185305000000e+00  2.991993003571429e-01 -1.000000000000000e+00
-5.684786704523808e+00  2.991993003571430e-01 -1.000000000000000e+00
-6.283185304999999e+00  8.975979010714287e-01  3.333333333333333e-01
-6.283185305000000e+00  8.975979010714286e-01  1.000000000000000e+00
-5.684786704523808e+00  8.975979010714287e-01  3.333333333333333e-01
-5.684786704523810e+00  8.975979010714287e-01  1.000000000000000e+00
-6.283185304999999e+00  8.975979010714287e-01 -3.333333333333333e-01
-5.684786704523809e+00  8.975979010714287e-01 -3.333333333333333e-01
-6.283185305000000e+00  8.975979010714288e-01 -1.000000000000000e+00
