    995       3
 4.016907215118408e+00 -1.675868928432465e-01  5.742495059967041e-01
 4.924506187438965e+00  1.302163720130920e+00  2.398272752761841e-01
 4.164066791534424e+00  1.690467953681946e+00  2.358756214380264e-02
 3.902034282684326e+00  1.705851912498474e+00 -3.469548523426056e-01
 4.198568820953369e+00  1.099092960357666e+00 -1.357337459921837e-02
 3.201643466949463e+00  1.306749343872070e+00  1.723774969577789e-01
 3.180118322372437e+00  8.554841279983521e-01  2.819385007023811e-02
 3.180741071701050e+00  1.137392401695251e+00 -5.372752547264099e-01
 3.602641344070435e+00  1.068725466728210e+00 -3.388378303498030e-03
 2.737132787704468e+00  1.042671918869019e+00  3.896992653608322e-02
 2.993205308914185e+00  1.749024510383606e+00  9.824311360716820e-03
 2.707872867584229e+00  1.720355510711670e+00  3.660052418708801e-01
-8.977693319320679e-01 -5.264030694961548e-01 -4.742935125250369e-04
-7.481507658958435e-01 -5.230948925018311e-01  4.996289014816284e-01
-1.394923448562622e+00 -8.861344307661057e-02  5.316790938377380e-01
-1.346607446670532e+00 -5.230329632759094e-01  4.996130168437958e-01
 3.293694496154785e+00  1.748713016510010e+00  3.407381772994995e-01
 2.826441526412964e+00  1.164720296859741e+00  5.828868746757507e-01
 3.371268749237061e+00  1.224117398262024e+00  5.758241415023804e-01
-5.201977213324780e+00 -3.278231197838224e-01 -1.000000000000000e+00
-5.001135349273682e+00  1.791383624076843e-01 -5.323837399482727e-01
-5.203649081894695e+00  2.955794488549373e-01 -1.000000000000000e+00
-5.400380611419678e+00 -4.020952582359314e-01 -5.829663276672363e-01
 8.165681958198547e-01 -1.262574076652527e+00 -7.874702103435993e-03
 3.099480271339417e-01 -1.090977549552917e+00 -2.524798735976219e-02
 3.205270767211914e-01 -1.692206978797913e+00 -3.659464418888092e-01
 5.667990446090698e-01 -1.720964074134827e+00 -5.736012244597077e-04
 3.286671340465546e-01 -1.690530657768250e+00  3.678134381771088e-01
 4.785248339176178e-01 -1.056272387504578e+00 -5.135152935981750e-01
 1.046842813491821e+00 -7.887676358222961e-01 -7.801611791364849e-04
 4.813148448749367e+00  1.559701520431878e+00  1.000000000000000e+00
 5.126626968383789e+00  1.562661290168762e+00  6.514727473258972e-01
 4.521306037902832e+00  1.675385832786560e+00  3.748126327991486e-01
 4.508192415119132e+00  1.040039572473290e+00  1.000000000000000e+00
 4.199383039488358e+00  1.565849615233496e+00  1.000000000000000e+00
 4.430154323577881e+00  1.027410387992859e+00  4.346673786640167e-01
-5.984119161243294e-01 -1.573378003573463e+00  1.000000000000000e+00
-2.991993002380955e-01 -2.094395102500000e+00  1.000000000000000e+00
-8.975979007142865e-01 -2.094395102500000e+00  1.000000000000000e+00
-5.989873530320983e-01 -2.094395102500000e+00  5.109762391166698e-01
 5.518780708312988e+00  1.329907894134521e+00  3.529109358787537e-01
 5.134825706481934e+00  1.743499875068665e+00  3.034906685352325e-01
-3.280581951141357e+00 -1.291923880577087e+00 -3.277709707617760e-02
-3.008985757827759e+00 -1.700015783309937e+00  5.287618190050125e-02
-3.292387485504150e+00 -1.750696063041687e+00 -3.217354714870453e-01
-2.731387376785278e+00 -1.714225530624390e+00 -3.387146890163422e-01
-2.877790689468384e+00 -1.038869619369507e+00  4.768183231353760e-01
-3.438534259796143e+00 -7.842907905578613e-01 -9.349223226308823e-03
-3.370581626892090e+00 -1.221492528915405e+00  5.742987394332886e-01
-2.677622795104980e+00 -1.080239653587341e+00 -3.577460348606110e-02
-5.520256042480469e+00  3.174445629119873e-01 -6.668924689292908e-01
-5.837830543518066e+00  3.393780589103699e-01 -3.327681422233582e-01
-5.215970993041992e+00 -3.004923462867737e-01 -1.371240615844727e-02
-5.221968650817871e+00  3.216075599193573e-01  3.241085261106491e-02
 4.760024070739746e+00 -1.028982639312744e+00 -2.340404130518436e-02
 5.544384956359863e+00 -1.325538396835327e+00 -3.096072077751160e-01
 5.065284729003906e+00 -8.975238204002380e-01 -4.838000535964966e-01
 5.498353958129883e+00 -9.072464704513550e-01 -5.351810529828072e-02
 5.071921825408936e+00 -1.413114309310913e+00  8.246351778507233e-02
 5.878579616546631e+00 -1.317635059356689e+00  3.436999395489693e-02
 1.196663832926832e+00 -5.326425864698072e-01 -1.000000000000000e+00
 1.046842813491821e+00 -1.054065346717834e+00 -5.006752014160156e-01
 1.342695593833923e+00 -5.198392271995544e-01 -4.894820451736450e-01
 7.365548014640808e-01 -5.367612242698669e-01 -4.822460711002350e-01
 4.510408878326416e+00 -1.716865539550781e+00 -3.340265750885010e-01
 5.119677066802979e+00 -1.357931017875671e+00 -6.107844114303589e-01
 5.100042343139648e+00 -1.720682859420776e+00 -4.699017405509949e-01
 4.566200733184814e+00 -1.754441976547241e+00  4.441484808921814e-01
 6.283185305000000e+00 -8.975979010714286e-01  1.000000000000000e+00
 6.283185305000000e+00 -6.130911570464272e-01  5.091247943720985e-01
 6.283185305000000e+00 -1.256021384340242e+00  4.789490444261487e-01
 5.925586700439453e+00 -9.489532709121704e-01  3.325059711933136e-01
 5.006972789764404e+00 -1.005148768424988e+00  4.862104356288910e-01
 5.476378917694092e+00 -1.713028192520142e+00  4.530972987413406e-02
-5.455403327941895e+00 -8.924591541290283e-01  5.518329516053200e-02
-5.879227161407471e+00 -1.270382046699524e+00  5.962592735886574e-02
-5.511067390441895e+00 -1.335837006568909e+00  3.620313405990601e-01
-5.906024456024170e+00 -9.245053529739380e-01  3.910593688488007e-01
-4.622206687927246e+00 -8.100790381431580e-01 -7.459993474185467e-03
-5.000702857971191e+00 -9.271596074104309e-01 -5.520299673080444e-01
-5.528512477874756e+00 -1.329983353614807e+00 -2.943122386932373e-01
-4.753121852874756e+00 -1.371615529060364e+00 -5.174804478883743e-02
 5.903223991394043e+00 -6.218274235725403e-01  2.404676191508770e-02
 5.911705493927002e+00 -3.327506780624390e-01 -3.241108953952789e-01
 5.921517372131348e+00 -2.802828550338745e-01  3.428212702274323e-01
 5.945958137512207e+00 -9.795551300048828e-01 -3.330883085727692e-01
 6.283185305000000e+00 -6.115001168434440e-01 -4.792856206454864e-01
 6.283185305000000e+00 -3.087822212691604e-01  2.253280041898150e-02
 6.283185305000000e+00 -9.278025494853375e-01  1.261722017352853e-02
 3.902193069458008e+00 -1.721587777137756e+00 -3.373204171657562e-01
 3.477265834808350e+00 -1.071865200996399e+00 -6.006462574005127e-01
 3.287607192993164e+00 -1.717095136642456e+00 -3.322024941444397e-01
 3.559985160827637e+00 -1.720373868942261e+00 -6.965043954551220e-03
 3.594747781753540e+00 -1.057421088218689e+00 -6.656792946159840e-03
 3.589487780819538e+00 -2.094395102500000e+00  5.143650754869810e-01
 3.892596006393433e+00 -1.748694777488708e+00  3.460451960563660e-01
 3.323626518249512e+00 -1.700011730194092e+00  3.714028000831604e-01
 3.888769594530153e+00 -2.094395102500000e+00  2.254170347324892e-02
 4.199445724487305e+00 -1.648282051086426e+00  1.472931634634733e-02
 3.829104185104370e+00 -1.223841786384583e+00  5.432353019714355e-01
 5.115869508032469e+00  2.094395102500000e+00  8.262785205017371e-03
 2.546010732650757e+00 -1.561116892844439e-03 -4.995796382427216e-01
 2.912549972534180e+00 -5.568150281906128e-01 -7.671955972909927e-02
 3.124791860580444e+00  1.181523129343987e-02 -5.568809509277344e-01
 2.832471370697021e+00 -3.603677498176694e-03  5.820860713720322e-02
 3.446679115295410e+00 -2.649028599262238e-01  1.415571570396423e-02
 3.372824430465698e+00  3.150516450405121e-01 -3.976279869675636e-02
-3.464605331420898e+00  8.092988729476929e-01  3.838996961712837e-02
-3.166468620300293e+00  5.028305649757385e-01 -4.947389960289001e-01
-3.005856275558472e+00  1.075964689254761e+00  3.864896297454834e-02
-2.950163602828979e+00  4.669717550277710e-01 -2.648973092436790e-02
-3.438912391662598e+00  1.046593427658081e+00 -5.004861354827881e-01
-3.570488691329956e+00  1.690801620483398e+00  2.169515565037727e-02
-2.538947343826294e+00  3.810078650712967e-02 -9.578822180628777e-03
-1.948405742645264e+00 -2.885007560253143e-01 -1.298467908054590e-02
-2.002438545227051e+00  1.039155647158623e-01 -5.505514740943909e-01
-1.911729454994202e+00  3.328714370727539e-01 -2.073544636368752e-02
-2.258782863616943e+00 -5.266477465629578e-01 -4.745858907699585e-01
-1.946966171264648e+00 -1.715639606118202e-02  4.447347819805145e-01
-2.522397756576538e+00 -4.944497942924500e-01  4.907881319522858e-01
-2.593869924545288e+00 -6.579809635877609e-02  5.427586436271667e-01
-2.855472564697266e+00 -5.305509567260742e-01 -4.987144768238068e-01
-2.599189758300781e+00  8.674725145101547e-02 -5.360772013664246e-01
-3.134076833724976e+00  4.539553076028824e-03 -4.834759235382080e-01
-3.060596227645874e+00 -3.097684979438782e-01  1.477221772074699e-02
-2.658152341842651e+00 -5.766463875770569e-01 -6.308421492576599e-02
-2.839353799819946e+00  5.277751088142395e-01  4.843847751617432e-01
-3.108622312545776e+00  4.701623227447271e-03  4.954277873039246e-01
 5.801480986548427e+00 -1.210060202949018e+00 -1.000000000000000e+00
 5.552080154418945e+00 -9.343518614768982e-01 -6.350424885749817e-01
-2.363439559936523e+00  5.535299181938171e-01 -1.017864048480988e-02
 5.409734735000268e+00 -1.608318692435281e+00  1.000000000000000e+00
 5.570452690124512e+00 -1.695234656333923e+00  5.991701483726501e-01
 5.260551768062195e+00 -2.094395102500000e+00  5.636733802741436e-01
 5.072862625122070e+00 -1.761348962783813e+00  5.376025438308716e-01
 5.983653048202408e-01 -1.576139048587456e+00 -1.000000000000000e+00
 8.974875937544023e-01 -1.056166738954470e+00 -1.000000000000000e+00
 2.991349987479730e-01 -1.056282813189917e+00 -1.000000000000000e+00
-2.532555818557739e+00  5.136225223541260e-01 -5.002493858337402e-01
 5.177777607686268e+00 -9.824455268875819e-01 -1.000000000000000e+00
 5.209372883281141e+00 -3.008209919227552e-01 -1.000000000000000e+00
 4.743184264139239e+00 -5.684076291889617e-01 -1.000000000000000e+00
 4.745699882507324e+00 -6.155424118041992e-01 -5.823363065719604e-01
-1.994919061660767e+00  1.279311895370483e+00 -1.966038048267365e-01
-1.469146013259888e+00  1.046766638755798e+00  3.777505457401276e-02
-1.635372757911682e+00  1.069505691528320e+00 -4.985889494419098e-01
-1.494887351989746e+00  1.714530587196350e+00 -3.230391740798950e-01
-1.495014756064458e+00  2.094395102500000e+00  1.376651728201168e-02
-1.794394720008376e+00  2.094395102500000e+00  5.110929676275447e-01
-1.830419421195984e+00  1.731884837150574e+00  1.249529048800468e-02
-1.495336294174194e+00  1.750271797180176e+00  3.407048285007477e-01
-2.087577819824219e+00  1.752574205398560e+00  3.570548295974731e-01
-2.093306456148436e+00  2.094395102500000e+00  1.408252895221427e-02
-2.404201030731201e+00  1.755461215972900e+00  2.513676183298230e-03
-1.794197632618695e+00  2.094395102500000e+00 -4.872946986460387e-01
-2.064808607101440e+00  1.704771399497986e+00 -3.691870570182800e-01
-8.983904712054659e-01 -2.094395102500000e+00  1.369844714979165e-02
-1.197414755821228e+00 -1.749037265777588e+00  8.897968567907810e-03
-5.990192294120789e-01 -1.749046802520752e+00  8.851890452206135e-03
-8.981268405914307e-01 -1.750263094902039e+00 -3.223511576652527e-01
-8.981443047523499e-01 -1.747812151908875e+00  3.402646780014038e-01
-5.991821661237072e-01 -2.094395102500000e+00 -4.874620522760852e-01
-3.000078538052504e-01 -2.094395102500000e+00  1.364230778896223e-02
-6.458972347900271e-04 -1.749046802520752e+00  8.828056044876575e-03
-2.997511327266693e-01 -1.747829675674438e+00  3.402313292026520e-01
-2.997471392154694e-01 -1.750263094902039e+00 -3.223877251148224e-01
-3.292232281036407e+00 -2.094395102500000e+00  1.441971379648351e-02
-3.593279600143433e+00 -1.748988747596741e+00  9.147429838776588e-03
-3.591505586045332e+00 -2.094395102500000e+00  5.115051030299229e-01
-3.301390409469604e+00 -1.731045842170715e+00  3.660100102424622e-01
 4.190153053494773e+00  2.094395102500000e+00 -4.862012893604859e-01
-3.591377049867122e+00 -2.094395102500000e+00 -4.865980508568482e-01
-3.892817020416260e+00 -1.750935196876526e+00 -3.219801485538483e-01
-4.205329418182373e+00 -1.083605766296387e+00 -2.192634344100952e-02
-4.195993900299072e+00 -1.747878074645996e+00  8.079673163592815e-03
-3.894454240798950e+00 -1.746056437492371e+00  3.407381772994995e-01
-3.891416175109859e+00 -2.094395102500000e+00  1.449409053998295e-02
 2.394883632659912e+00 -2.628174126148224e-01  1.962319947779179e-04
 2.812473297119141e+00 -5.284042954444885e-01  5.021393895149231e-01
 2.546010732650757e+00  1.561911311000586e-03  4.995796382427216e-01
-4.496687776768095e+00 -2.094395102500000e+00  1.213417642052941e-02
-4.575862407684326e+00 -1.743358373641968e+00  2.988494038581848e-01
-4.506218433380127e+00 -1.729075551033020e+00 -3.354327678680420e-01
 3.127122879028320e+00 -6.294518709182739e-02  5.398127436637878e-01
 2.496641397476196e+00 -6.445053219795227e-01 -5.143693685531616e-01
-2.991980151952686e+00 -1.576174635632896e+00 -1.000000000000000e+00
-3.143391132354736e+00 -1.054416418075562e+00 -5.007435083389282e-01
 3.518978357315063e+00 -6.700194478034973e-01  5.023761391639709e-01
 3.150998115539551e+00 -1.141135096549988e+00  6.327393651008606e-01
 3.210091590881348e+00 -4.977897107601166e-01 -6.295678615570068e-01
-2.381818771362305e+00  1.113676190376282e+00  1.229826454073191e-02
-2.543238162994385e+00  1.139440536499023e+00  6.262374520301819e-01
-2.713352203369141e+00  1.697811961174011e+00  3.862941861152649e-01
-2.973002910614014e+00  1.736937522888184e+00  2.111996524035931e-02
-1.923503398895264e+00  8.445571064949036e-01 -2.025002986192703e-02
-1.941012501716614e+00  1.062752723693848e+00  5.047610998153687e-01
-2.204467773437500e+00  5.590260028839111e-01  5.232688784599304e-01
-2.254094600677490e+00  1.069937825202942e+00 -5.649455785751343e-01
-3.601999503503234e+00 -5.367888581355543e-01 -1.000000000000000e+00
-3.922107074924949e+00 -1.147020842863075e-02 -1.000000000000000e+00
-4.209487430921012e+00 -5.462850530814735e-01 -1.000000000000000e+00
-3.995331764221191e+00 -1.405100524425507e-01 -4.942623078823090e-01
 4.058274745941162e+00  1.057027816772461e+00  4.974806904792786e-01
 3.894871473312378e+00  1.747303724288940e+00  3.409399688243866e-01
 4.496687776768095e+00  2.094395102500000e+00  1.213417642052939e-02
-4.211683337756267e+00 -5.217745869558027e-01  1.000000000000000e+00
-3.603828404607397e+00 -5.171545638718505e-01  1.000000000000000e+00
-3.900593197054796e+00 -1.042147596830826e+00  1.000000000000000e+00
-3.682731151580811e+00 -3.449353277683258e-01  5.696384310722351e-01
 5.942171573638916e+00  4.394436776638031e-01  3.694976866245270e-01
 5.566907882690430e+00  7.001065015792847e-01 -6.266076862812042e-02
 5.557874679565430e+00  9.480388760566711e-01  6.836325526237488e-01
 5.202434062957764e+00  4.825225472450256e-01 -5.084251761436462e-01
 5.931543350219727e+00  3.021241724491119e-01 -3.009420335292816e-01
-3.564895868301392e+00 -5.938440933823586e-02  1.936897169798613e-03
-3.184909582138062e+00 -5.272022485733032e-01  5.134334564208984e-01
-3.898704767227173e+00  1.518613249063492e-01  5.313152074813843e-01
-4.316672325134277e+00 -8.692997507750988e-03  8.820111863315105e-03
-3.944596767425537e+00  5.972777605056763e-01  2.987175248563290e-03
-3.888769594530153e+00  2.094395102500000e+00  2.254170347324892e-02
-4.189442882707533e+00  2.094395102500000e+00  5.194236914641771e-01
-4.210544109344482e+00  1.667522311210632e+00  3.955464810132980e-02
-3.887674331665039e+00  1.657535910606384e+00  4.053215384483337e-01
-4.484506410543771e+00  2.094395102500000e+00  3.734553405601038e-02
-4.190296669772650e+00  2.094395102500000e+00 -4.770625200907473e-01
-4.502697944641113e+00  1.717408061027527e+00 -2.970038652420044e-01
-3.893580436706543e+00  1.075737476348877e+00  1.849188655614853e-02
-4.089879035949707e+00  1.035564661026001e+00 -5.807664394378662e-01
-3.896984577178955e+00  1.736082673072815e+00 -3.290421366691589e-01
-4.482415199279785e+00  1.763933420181274e+00  3.738068640232086e-01
-4.350797176361084e+00  1.080326199531555e+00  4.494793117046356e-01
 5.086388104047619e+00 -2.094395102500000e+00 -1.000000000000000e+00
 4.813148448749367e+00 -1.559701520431878e+00 -1.000000000000000e+00
 4.797073794484543e+00 -2.094395102500000e+00 -4.606898066145859e-01
-1.871125340461731e+00 -1.401040077209473e+00  8.726365119218826e-02
-1.496580362319946e+00 -1.747761249542236e+00  3.403155207633972e-01
-1.496522426605225e+00 -1.750262260437012e+00 -3.222883939743042e-01
-1.496217370033264e+00 -1.051912307739258e+00 -9.628873667679727e-04
-1.047450661659241e+00 -1.049812555313110e+00  4.992666244506836e-01
-8.977748751640320e-01 -1.051990151405334e+00 -9.319033706560731e-04
-1.346619367599487e+00 -1.054152727127075e+00 -5.007331967353821e-01
-1.197576305799940e+00 -2.094395102500000e+00 -4.874000718720689e-01
-4.638825893402100e+00 -1.582734137773514e-01 -4.778503179550171e-01
-4.697157382965088e+00  3.597702980041504e-01 -7.966065779328346e-03
-4.307444095611572e+00  3.978933393955231e-01 -5.109237432479858e-01
-4.132523536682129e+00  6.698343157768250e-01  5.016770362854004e-01
-4.335216999053955e+00  8.702086806297302e-01 -8.513449691236019e-03
-4.609582424163818e+00  6.578236818313599e-01  5.873581171035767e-01
 4.811703537972730e+00 -1.564642036064802e+00  1.000000000000000e+00
 4.365263938903809e+00 -1.054422855377197e+00  4.980256855487823e-01
-5.028985023498535e+00  9.444193243980408e-01  5.388037767261267e-03
-4.675509452819824e+00  6.075580716133118e-01 -5.220772027969360e-01
-5.155680179595947e+00  5.123227834701538e-01  5.039126276969910e-01
-4.652701854705811e+00  1.656515747308731e-01  4.727602005004883e-01
-7.106600999832153e-01  1.055199027061462e+00  6.143411993980408e-01
-5.986911058425903e-01  1.052013278007507e+00  9.231643052771688e-04
-8.969963192939758e-01  1.750267028808594e+00  3.406301438808441e-01
-2.986436486244202e-01  1.750263810157776e+00  3.406126499176025e-01
-1.274973273277283e+00  1.010373950004578e+00  5.567983388900757e-01
-1.121283888816833e+00  1.401805043220520e+00  8.841085433959961e-02
-8.917584419250488e-01  5.801110267639160e-01  1.224900782108307e-02
-1.053109526634216e+00  1.044700980186462e+00 -5.027058720588684e-01
-7.481507658958435e-01  5.230957269668579e-01 -4.996289014816284e-01
-7.544651627540588e-01  1.433888673782349e+00 -4.238714277744293e-01
-1.046440839767456e+00  1.750135183334351e+00 -2.376528382301331e-01
-2.993880510330200e-01  5.264038443565369e-01  4.607876762747765e-04
-4.489430487155914e-01  5.296961069107056e-01  5.003613829612732e-01
-1.196789684471148e+00 -1.576177534595712e+00 -1.000000000000000e+00
-1.795184920088097e+00 -1.576176040779098e+00 -1.000000000000000e+00
-5.977481007575989e-01  1.749040365219116e+00  9.412780404090881e-03
-1.047326683998108e+00 -5.297104120254517e-01 -5.003709197044373e-01
-1.496219754219055e+00 -5.263895392417908e-01 -4.941550432704389e-04
-1.608485102653503e+00 -1.136736989021301e+00  5.369574427604675e-01
-2.393582105911749e+00 -1.576175098014553e+00 -1.000000000000000e+00
-2.692793702142856e+00 -2.094395102500000e+00 -1.000000000000000e+00
-2.394412031770896e+00 -2.094395102500000e+00 -4.871492198921836e-01
-1.945057034492493e+00 -1.054118514060974e+00 -5.007641911506653e-01
-1.957165479660034e+00 -7.952480316162109e-01 -3.946885000914335e-03
-1.645768284797668e+00 -5.297445654869080e-01 -5.003868341445923e-01
-1.495996501190476e+00 -2.094395102500000e+00 -1.000000000000000e+00
-2.094395101666667e+00 -2.094395102500000e+00 -1.000000000000000e+00
-1.795985710835558e+00 -2.094395102500000e+00 -4.873002943587086e-01
 1.982558012008667e+00 -5.085244774818420e-01 -5.750582814216614e-01
 2.243864297866821e+00 -5.238893628120422e-01  4.996193647384644e-01
 2.393339157104492e+00  1.745808482170105e+00  9.087050333619118e-03
 2.246340036392212e+00  1.071769952774048e+00  5.207743048667908e-01
 2.243880271911621e+00  7.887715697288513e-01  7.658608956262469e-04
 2.526049137115479e+00  5.837067365646362e-01  5.374881625175476e-01
 2.704529762268066e+00  1.729545950889587e+00 -3.505767881870270e-01
 2.219720602035522e+00  1.267321825027466e+00 -2.255380898714066e-01
 1.870551705360413e+00  1.401700258255005e+00  8.840291202068329e-02
-1.795594847679715e+00 -5.193968547829395e-01  1.000000000000000e+00
-2.094953195528211e+00 -1.046974780277387e+00  1.000000000000000e+00
-2.395008150143845e+00 -5.188264572149033e-01  1.000000000000000e+00
-1.919546127319336e+00 -5.106282234191895e-01  5.012321472167969e-01
-2.672645568847656e+00  1.681105971336365e+00 -3.218435049057007e-01
-2.816655158996582e+00  1.026126503944397e+00 -4.970333874225616e-01
-3.269561052322388e+00  1.728193759918213e+00 -3.321349620819092e-01
-5.400004318140339e+00 -1.615371254068220e+00 -1.000000000000000e+00
-5.792253756698361e+00 -1.223859148973072e+00 -1.000000000000000e+00
-5.545292854309082e+00 -9.612952470779419e-01 -6.194448471069336e-01
-3.187500238418579e+00  1.201414942741394e+00  5.322812795639038e-01
-3.429462432861328e+00  5.140944719314575e-01  5.470646023750305e-01
 3.663748264312744e+00 -3.820724189281464e-01 -5.587288737297058e-01
 3.925129175186157e+00 -5.838871002197266e-01  2.074021287262440e-02
 4.005999088287354e+00 -1.196200013160706e+00 -5.600715279579163e-01
-6.283185305000000e+00 -8.975979010714286e-01 -1.000000000000000e+00
-6.283185305000000e+00 -1.251642412291615e+00 -4.175598243027664e-01
-5.894752025604248e+00 -9.275647997856140e-01 -3.514674007892609e-01
 3.290101720947443e+00 -2.094395102500000e+00  1.704065262914323e-02
 3.589727703788151e+00 -2.094395102500000e+00 -4.834113727441766e-01
-5.133078575134277e+00 -1.740709662437439e+00 -3.184440135955811e-01
-5.115869508032469e+00 -2.094395102500000e+00  8.262785205017364e-03
-4.312688350677490e+00 -1.060930252075195e+00 -5.884552597999573e-01
-4.801076502121563e+00 -1.572938595622874e+00 -1.000000000000000e+00
-2.992863307070226e+00 -2.094395102500000e+00 -4.869243190761569e-01
-1.476109493523836e-02  1.739341616630554e+00  3.403473179787397e-03
 6.236840486526489e-01  1.680899381637573e+00  7.539439946413040e-03
 3.090947866439819e-01  1.700678348541260e+00  3.810555338859558e-01
 3.053226768970490e-01  1.068213939666748e+00  2.027783542871475e-02
-1.256266087293625e-01  1.047789812088013e+00  5.150097012519836e-01
 8.040901996545317e-04  2.094395102500000e+00 -4.874926403220294e-01
 2.963230311870575e-01  1.725618124008179e+00 -3.413793146610260e-01
-2.972414195537567e-01  1.739478230476379e+00 -3.554269969463348e-01
-2.983568982032594e-01  2.094395102500000e+00  1.362350777951217e-02
 6.115585023589812e-04  2.094395102500000e+00  5.109457000209209e-01
 6.283185305000000e+00  8.823817648175415e-01  7.993277358909959e-02
 5.926344394683838e+00  9.146841764450073e-01  3.769433796405792e-01
-2.995154129258722e+00 -5.340511531208463e-01 -1.000000000000000e+00
-2.393791900452012e+00 -5.332893773802698e-01 -1.000000000000000e+00
-2.695871546462747e+00 -8.086501504907454e-03 -1.000000000000000e+00
 5.403111934661865e+00 -4.029079675674438e-01  5.825802087783813e-01
 8.983904712054659e-01  2.094395102500000e+00  1.369844714979165e-02
 5.991821661237072e-01  2.094395102500000e+00 -4.874620522760852e-01
 1.197576305799940e+00  2.094395102500000e+00 -4.874000718720689e-01
 8.980815410614014e-01  1.747820138931274e+00 -3.219539523124695e-01
-5.444134461689679e+00 -2.094395102500000e+00  4.770947993051221e-01
-5.134807586669922e+00 -1.733932137489319e+00  3.290691375732422e-01
-5.516988754272461e+00 -1.677456259727478e+00  2.921235002577305e-02
 3.591377049867122e+00  2.094395102500000e+00 -4.865980508568482e-01
 3.576047658920288e+00  1.745401740074158e+00 -4.123255203012377e-04
 3.292640924453735e+00  1.748571634292603e+00 -3.212730884552002e-01
 3.822897911071777e+00  1.223589897155762e+00 -5.746793150901794e-01
 5.563604354858398e+00  9.519619345664978e-01 -6.229451894760132e-01
 5.545312881469727e+00  1.314972043037415e+00 -3.135064244270325e-01
 5.910962104797363e+00  9.184610843658447e-01 -4.471825361251831e-01
-3.747802257537842e+00  1.204888224601746e+00  5.795501470565796e-01
-3.589487780819538e+00  2.094395102500000e+00  5.143650754869810e-01
-3.293948650360107e+00  1.767951726913452e+00  4.253817200660706e-01
-5.975550587996562e-01  2.094395102500000e+00 -4.874907383828586e-01
-8.966994444688458e-01  2.094395102500000e+00  1.365183756011755e-02
-4.687935352325439e+00 -3.747856318950653e-01  4.116740822792053e-02
