    995       3
 2.471895456314087e+00 -1.410503625869751e+00 -6.060311198234558e-01
 2.243894577026367e+00 -1.053359866142273e+00 -5.005997419357300e-01
 2.107372760772705e+00 -1.717725872993469e+00 -3.744567334651947e-01
 2.401190042495728e+00 -1.741490602493286e+00  5.338781513273716e-03
 2.688359260559082e+00 -1.760259747505188e+00 -3.554754555225372e-01
 2.600742816925049e+00 -1.312066674232483e+00 -1.537950336933136e-01
 2.393967714740125e+00 -1.574890036924315e+00 -1.000000000000000e+00
 2.392490786947210e+00 -2.094395102500000e+00 -4.869108181775633e-01
 1.795220084453656e+00 -1.575684395343724e+00 -1.000000000000000e+00
 2.094677046076783e+00 -1.054962676840461e+00 -1.000000000000000e+00
 2.993498827418801e+00 -1.573282020329240e+00 -1.000000000000000e+00
 2.694485841667532e+00 -1.053223792662554e+00 -1.000000000000000e+00
 2.837813377380371e+00 -1.097338080406189e+00 -4.944775998592377e-01
 4.811703537972730e+00  1.564642036064802e+00 -1.000000000000000e+00
 4.507822660451513e+00  1.048744408378289e+00 -1.000000000000000e+00
 5.019518852233887e+00  1.153064012527466e+00 -5.086222290992737e-01
 4.689136028289795e+00  1.423261880874634e+00 -5.878244638442993e-01
 5.409734735000268e+00  1.608318692435281e+00 -1.000000000000000e+00
 5.136983394622803e+00  1.698971867561340e+00 -3.668529391288757e-01
 4.487989503571427e+00  2.094395102500000e+00 -1.000000000000000e+00
 4.799710991739333e+00  2.094395102500000e+00 -4.846209372224290e-01
 4.514848709106445e+00  1.727775812149048e+00 -3.627074360847473e-01
 4.791697502136230e+00  1.711718201637268e+00 -5.456759035587311e-02
 4.537980079650879e+00  1.276995182037354e+00 -1.472876071929932e-01
 4.196839399513302e+00  1.568983102585450e+00 -1.000000000000000e+00
 4.348200798034668e+00  1.067441701889038e+00 -5.119303464889526e-01
 2.995437622070312e+00 -1.089805722236633e+00 -7.458404637873173e-03
 2.981412172317505e+00 -1.734846591949463e+00 -1.217909506522119e-03
 2.580129861831665e+00 -1.137250185012817e+00  5.371926426887512e-01
 2.506003379821777e+00 -8.551837801933289e-01 -2.319827617611736e-04
 2.090658903121948e+00 -1.046452760696411e+00  2.688457723706961e-03
 2.691832542419434e+00 -1.748145818710327e+00  3.410432636737823e-01
 4.703127861022949e+00  1.338794827461243e-01  9.884689934551716e-03
 4.213493347167969e+00  5.417067408561707e-01 -9.658268652856350e-03
 4.592568874359131e+00  8.133283853530884e-01  1.223470782861114e-03
 4.743774414062500e+00  5.781916379928589e-01 -5.003931522369385e-01
 5.255132675170898e+00 -1.383356153964996e-01 -5.531947016716003e-01
 5.573268413543701e+00  2.268569022417068e-01  9.641426056623459e-02
 5.179323196411133e+00 -3.593126833438873e-01  1.650414429605007e-02
 5.227399349212646e+00  1.387685984373093e-01  5.518742799758911e-01
 5.007030010223389e+00  5.940347909927368e-01 -3.050732193514705e-03
 4.687973022460938e+00  5.195683240890503e-01  5.318887829780579e-01
 4.644579410552979e+00  1.528289765119553e-01 -5.011240839958191e-01
 3.986215353012085e+00 -3.267302364110947e-02 -1.052979286760092e-02
 4.014069080352783e+00  1.346437484025955e-01 -4.941367805004120e-01
 4.495787620544434e+00 -2.840763926506042e-01 -4.011395201086998e-02
