   3843       3
 4.107100963592529e+00  6.264137029647827e-01  1.086434245109558e+00
 4.383069515228271e+00  1.216520786285400e+00  1.673597693443298e+00
 4.214319229125977e+00  1.548993706703186e+00  9.033201932907104e-01
 3.669416666030884e+00  1.578485131263733e+00  1.648680925369263e+00
 3.335444211959839e+00  2.838380634784698e-01  1.553156137466431e+00
 4.584922313690186e+00 -1.613532379269600e-02  7.930851578712463e-01
 3.462479829788208e+00 -4.828698933124542e-01  1.326260209083557e+00
 3.795474767684937e+00  7.886470109224319e-02  5.174506306648254e-01
 4.959639549255371e+00  1.058859586715698e+00  9.370474815368652e-01
 5.193975448608398e+00  7.119419574737549e-01  1.751622796058655e+00
 3.871167182922363e+00  8.058634400367737e-01  2.454324364662170e-01
 3.288058757781982e+00  8.570220470428467e-01  9.100165963172913e-01
 3.248378515243530e+00 -4.042770564556122e-01  6.232147216796875e-01
 2.746384143829346e+00 -9.318279623985291e-01  7.038925886154175e-01
 2.469121217727661e+00 -4.589735269546509e-01  1.196393609046936e+00
 2.305175781250000e+00 -3.269245922565460e-01  3.730356395244598e-01
 3.570711851119995e+00 -6.261393427848816e-01 -4.466024041175842e-01
 3.458590269088745e+00 -1.432438969612122e+00  3.188651502132416e-01
 2.906560182571411e+00 -8.294879198074341e-01 -3.016196787357330e-01
 3.572826147079468e+00  1.201329976320267e-01 -2.096985280513763e-01
 3.581345796585083e+00 -1.281527400016785e+00  1.402118086814880e+00
 4.129188060760498e+00 -9.104048013687134e-01  2.531479597091675e-01
 3.151314973831177e+00 -1.330384731292725e+00  2.547221660614014e+00
 3.744852304458618e+00 -2.079572916030884e+00  2.227160215377808e+00
 4.177767276763916e+00 -1.487388372421265e+00  2.804357528686523e+00
 4.464019298553467e+00 -1.363659381866455e+00  1.657964348793030e+00
 2.702301263809204e+00 -1.928053021430969e+00  2.093839406967163e+00
 3.342962503433228e+00 -5.459533333778381e-01  2.077626943588257e+00
 2.497707128524780e+00 -1.008665800094604e+00  2.179949283599854e+00
 3.844710350036621e+00  2.194765806198120e+00  2.853091001510620e+00
 4.836417675018311e+00  2.430297613143921e+00  1.941372513771057e+00
 4.724503517150879e+00  2.120409965515137e+00  2.866304159164429e+00
 4.832240104675293e+00  9.701501131057739e-01  2.362312078475952e+00
